B3R3,B3R10,B3R9B,B3R6,B14R2,B14R23,B14R15BTERSEDIA,B1282R6,B8R2K3N,B8R2K4N,B4R10B,B121R1,B121R4,B121R5,B121R7,B121R10,B122R3,B1282R1,B1282R2,B1282R3,B1282R4,B1282R5,B122R11,B122R1,B4R3,B51R1B,B3R22E,B3R24,B3R40,B51R2DK2,B14R16,B14R7A,B126R4A,X_Pengiriman_RKO,X_Metode_Pembelian_Kapitasi,X_Persentase_Pemenuhan_EPurchasing,X_Sumber_Dana_Umum,X_Kondisi_Ruang_Farmasi,X_Kualitas_Gudang,X_Sumber_Dana_BPJS,X_Proporsi_Kapitasi,X_Sistem_Pencatatan,X_Kerusakan_Obat,X_Kepemilikan_Kendaraan,X_Intensitas_Kapitasi,Total_Kelompok_Obat_Dinkes
0,2,0,1,2,0,0,1,1,2,2,1,3,2,1,0,2,0,0,1,2,0,1,1,0,3,0,4,1,0,1,2,0,1,1,0,2,6,3,2,1,1,0,3,1,30
0,0,1,3,2,-1,1,1,1,1,2,1,1,2,1,0,0,0,0,1,4,0,1,0,1,1,1,4,1,1,2,1,1,1,0,0,2,6,4,3,1,2,1,2,0,25
0,0,0,1,2,0,0,0,1,1,2,0,0,0,1,0,2,0,0,1,6,0,1,1,0,4,0,0,1,0,1,2,1,0,1,0,1,6,3,0,1,2,1,3,3,34
1,0,1,2,2,-1,1,1,1,2,2,1,1,2,1,0,2,1,2,1,2,0,1,0,0,1,1,4,1,1,2,1,1,1,1,0,3,6,4,3,1,2,1,3,0,24
1,0,0,2,2,20045,0,1,0,0,2,1,3,2,0,0,2,0,0,1,4,1,1,0,1,1,1,4,1,0,2,1,0,1,-1,0,2,6,2,3,1,1,3,3,1,31
0,0,1,2,2,-1,0,1,1,1,2,1,1,1,1,0,0,0,0,1,4,0,1,0,1,1,1,4,1,1,2,1,0,1,0,0,2,6,4,0,1,1,1,3,0,33
0,0,2,2,2,3541,1,1,2,2,2,1,1,2,1,0,2,0,0,1,12,0,1,1,0,1,1,4,0,1,2,1,1,1,1,2,3,6,2,3,1,1,0,3,4,32
0,0,0,3,2,10737,0,0,0,0,2,1,1,1,1,0,2,1,12,1,4,0,1,1,1,1,1,4,1,1,2,1,1,1,1,2,3,6,4,3,1,1,2,3,0,34
0,0,2,0,2,2283,0,1,1,1,1,1,3,2,1,0,1,0,0,1,4,1,1,2,0,4,0,4,1,0,2,2,1,3,2,1,1,6,3,2,1,0,1,3,4,32
1,0,2,2,2,74,0,0,1,1,2,1,1,2,0,1,1,0,0,1,11,1,1,2,0,1,1,4,1,1,2,1,1,1,-1,0,2,6,2,3,1,1,1,3,4,33
